subsystem,scenario_alpha_load_kw,scenario_bravo_load_kw,scenario_alpha_raw_workbook_total_kw,scenario_bravo_raw_workbook_total_kw,scenario_alpha_recomputed_minus_raw_kw,scenario_bravo_recomputed_minus_raw_kw
HVAC,1026.73344657341,307.292471684,1026.73344657341,307.292471684,0.0,0.0
CW,3814.61147772621,1256.6386696681602,3814.6380311528005,1256.6361979841602,-0.026553426590453455,0.0024716840000564844
FW,11172.36557800847,4636.317392640301,11172.394100282261,4636.31872297214,-0.028522273791168118,-0.0013303318391990615
