system,alpha_raw_sum_kw,bravo_raw_sum_kw,alpha_local_excluding_candidates_kw,bravo_local_excluding_candidates_kw
CW,3814.6380311528,1256.63619798416,2787.8780311528,949.34619798416
FW,11172.39410028226,4636.31872297214,7357.75410028226,3379.67872297214
HVAC,1026.73344657341,307.292471684,1026.73344657341,307.292471684
