comparison,metric,reference_sample_size,final_sample_size,reference_value,final_value,absolute_change,relative_change,tolerance,passed
"100,000 vs 1,000,000",P99 load-to-capacity ratio,100000,1000000,1.0268466949259305,1.0267306627563488,0.0001160321695816,0.0001129985324538,0.005,True
"100,000 vs 1,000,000",Overload probability,100000,1000000,9.178,9.0674,0.1105999999999998,,0.5,True
