source,scenario,distribution_model,subsystem,overload_case_a_pct,overload_case_b_pct,overload_case_c_pct,p99_ratio_case_a,p99_ratio_case_b,p99_ratio_case_c,overload_probability_monotonic,p99_ratio_monotonic,dependency_model,rho,passed
Dependency Monte Carlo,Scenario Alpha,Truncated normal,HVAC,0.0,0.0,0.0,0.8965558236781179,0.941380869134048,0.9657135439322492,True,True,Global Gaussian copula,0.5,True
Dependency Monte Carlo,Scenario Alpha,Truncated normal,CW,0.0,0.068,4.488,0.952794927469308,0.9916013251794428,1.0166710557306478,True,True,Global Gaussian copula,0.75,True
Dependency Monte Carlo,Scenario Alpha,Truncated normal,FW,0.0,0.0,6.941999999999999,0.9573162778404362,0.9707693096512164,1.0202101987479264,True,True,Global Gaussian copula,0.75,True
Dependency Monte Carlo,Scenario Alpha,Truncated normal,HVAC,0.0,0.0,0.0,0.8984722299321828,0.9520735825015868,0.980606378232884,True,True,Global Gaussian copula,0.75,True
Dependency Monte Carlo,Scenario Alpha,Truncated normal,CW,0.0,0.0,0.002,0.9453787090310012,0.9628751697211236,0.9746548477086482,True,True,Subsystem-block Gaussian copula,0.25,True
Dependency Monte Carlo,Scenario Alpha,Truncated normal,FW,0.0,0.0,0.025,0.9547452939704189,0.9608108000758414,0.9867882707659502,True,True,Subsystem-block Gaussian copula,0.25,True
Dependency Monte Carlo,Scenario Alpha,Truncated normal,HVAC,0.0,0.0,0.0,0.8937642389628888,0.9267844411129132,0.9447345208407592,True,True,Subsystem-block Gaussian copula,0.25,True
Dependency Monte Carlo,Scenario Alpha,Truncated normal,CW,0.0,0.0,0.136,0.9480530158092212,0.9722688683634036,0.9881836722439796,True,True,Subsystem-block Gaussian copula,0.5,True
Dependency Monte Carlo,Scenario Alpha,Truncated normal,FW,0.0,0.0,0.26,0.9556723971359308,0.9640673179211572,0.9934739671999404,True,True,Subsystem-block Gaussian copula,0.5,True
Dependency Monte Carlo,Scenario Alpha,Truncated normal,HVAC,0.0,0.0,0.0,0.8965955386065726,0.941749442354098,0.9653471390238256,True,True,Subsystem-block Gaussian copula,0.5,True
Dependency Monte Carlo,Scenario Alpha,Truncated normal,CW,0.0,0.0,0.758,0.9499689917418906,0.9786428241146592,0.9979300535822316,True,True,Subsystem-block Gaussian copula,0.75,True
Dependency Monte Carlo,Scenario Alpha,Truncated normal,FW,0.0,0.0,0.902,0.9563366093971002,0.96627698010425,0.999346043645101,True,True,Subsystem-block Gaussian copula,0.75,True
Dependency Monte Carlo,Scenario Alpha,Truncated normal,HVAC,0.0,0.0,0.0,0.8985551902624952,0.9519619994465478,0.9801778083183164,True,True,Subsystem-block Gaussian copula,0.75,True
Dependency Monte Carlo,Scenario Bravo,Triangular,CW,0.0,0.0,0.029,0.9196279205694344,0.9507401109327164,0.9716602597970536,True,True,Global Gaussian copula,0.25,True
Dependency Monte Carlo,Scenario Bravo,Triangular,FW,0.0,0.0,0.766,0.956503446099462,0.965393555661248,0.9983791859916904,True,True,Global Gaussian copula,0.25,True
Dependency Monte Carlo,Scenario Bravo,Triangular,HVAC,0.0,0.0,0.0,0.8468633369255556,0.8834773422578235,0.908357896236502,True,True,Global Gaussian copula,0.25,True
Dependency Monte Carlo,Scenario Bravo,Triangular,CW,0.0,0.0,0.734,0.9255411102484938,0.968302581575842,0.9963350433634752,True,True,Global Gaussian copula,0.5,True
Dependency Monte Carlo,Scenario Bravo,Triangular,FW,0.0,0.0,3.592,0.958193102259721,0.9704119194077396,1.0115597901315154,True,True,Global Gaussian copula,0.5,True
Dependency Monte Carlo,Scenario Bravo,Triangular,HVAC,0.0,0.0,0.0,0.8547324455727429,0.9044968074299315,0.9381820902266812,True,True,Global Gaussian copula,0.5,True
Dependency Monte Carlo,Scenario Bravo,Triangular,CW,0.0,0.002,2.558,0.9298699042344796,0.9800195631195838,1.0132797478614004,True,True,Global Gaussian copula,0.75,True
Dependency Monte Carlo,Scenario Bravo,Triangular,FW,0.0,0.0,7.034999999999999,0.9594300274763792,0.973759972001948,1.0210971397393829,True,True,Global Gaussian copula,0.75,True
Dependency Monte Carlo,Scenario Bravo,Triangular,HVAC,0.0,0.0,0.0,0.8606220162032404,0.9188710643434436,0.9586433395201356,True,True,Global Gaussian copula,0.75,True
Dependency Monte Carlo,Scenario Bravo,Triangular,CW,0.0,0.0,0.0,0.9157725117337558,0.939291743969172,0.956116920631394,True,True,Subsystem-block Gaussian copula,0.25,True
Dependency Monte Carlo,Scenario Bravo,Triangular,FW,0.0,0.0,0.018,0.9554017876641528,0.9621222579666456,0.985806389627884,True,True,Subsystem-block Gaussian copula,0.25,True
