scenario,margin_case,distribution_model,dependency_model,rho,subsystem,p99_load_to_capacity_ratio,p99_spare_capacity_kw,overload_probability_pct
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Triangular,Subsystem-block Gaussian copula,0.25,FW,0.98406356252579,187.008675371113,0.004
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Triangular,Global Gaussian copula,0.25,CW,0.9830405591491972,68.99202294751649,0.031
Scenario Alpha,Case B - CMM + CUM,Truncated normal,Global Gaussian copula,0.5,CW,0.9827332491256516,70.24217856190126,0.002
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Truncated normal,Global Gaussian copula,0.75,HVAC,0.980606378232884,22.485352949229764,0.0
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Truncated normal,Subsystem-block Gaussian copula,0.75,HVAC,0.9801778083183164,22.98224547957761,0.0
Scenario Bravo,Case B - CMM + CUM,Triangular,Global Gaussian copula,0.75,CW,0.9800195631195838,27.81436657248969,0.002
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Truncated normal,Subsystem-block Gaussian copula,0.5,CW,0.9794812814287386,28.56369774868153,0.088
Scenario Alpha,Case B - CMM + CUM,Triangular,Global Gaussian copula,0.5,CW,0.9793242998140842,84.10998889831671,0.0
Scenario Alpha,Case B - CMM + CUM,Truncated normal,Subsystem-block Gaussian copula,0.75,CW,0.9786428241146592,86.88227293211958,0.0
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Truncated normal,Independent,0.0,FW,0.97861568788496,104.17966407581024,0.0
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Truncated normal,Independent,0.0,FW,0.9775723177068668,263.1812262979365,0.0
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Truncated normal,Global Gaussian copula,0.25,CW,0.9772490791991914,31.671101828389737,0.075
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Triangular,Independent,0.0,FW,0.9764575451337308,114.69366076839287,0.0
Scenario Alpha,Case B - CMM + CUM,Triangular,Subsystem-block Gaussian copula,0.75,CW,0.9758527006225672,98.23266270535942,0.0
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Triangular,Independent,0.0,FW,0.9755441991721296,286.9805077427809,0.0
Scenario Bravo,Case B - CMM + CUM,Truncated normal,Global Gaussian copula,0.75,FW,0.975540701784448,119.16031986056169,0.0
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Truncated normal,Subsystem-block Gaussian copula,0.25,CW,0.9746548477086482,103.10560023035669,0.002
