scenario,margin_case,distribution_model,dependency_model,rho,subsystem,p99_load_to_capacity_ratio,p99_spare_capacity_kw,overload_probability_pct
Scenario Bravo,Case B - CMM + CUM,Triangular,Global Gaussian copula,0.75,HVAC,0.9188710643434436,30.25541397439963,0.0
Scenario Bravo,Case B - CMM + CUM,Truncated normal,Independent,0.0,CW,0.918060085143588,114.06691667331415,0.0
Scenario Bravo,Case B - CMM + CUM,Triangular,Independent,0.0,CW,0.9169946383069776,115.55010390562256,0.0
Scenario Bravo,Case A - CUM,Truncated normal,Subsystem-block Gaussian copula,0.25,CW,0.9168001478599704,115.8208501670922,0.0
Scenario Bravo,Case A - CUM,Triangular,Subsystem-block Gaussian copula,0.25,CW,0.9157725117337558,117.2514018656732,0.0
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Truncated normal,Subsystem-block Gaussian copula,0.25,HVAC,0.9156911831760308,31.4412870581628,0.0
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Truncated normal,Global Gaussian copula,0.25,HVAC,0.9154003934586912,31.549731267450284,0.0
Scenario Bravo,Case B - CMM + CUM,Truncated normal,Global Gaussian copula,0.5,HVAC,0.911048540891304,33.172667645405966,0.0
Scenario Bravo,Case B - CMM + CUM,Truncated normal,Subsystem-block Gaussian copula,0.5,HVAC,0.9105172512009966,33.37080150961236,0.0
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Triangular,Subsystem-block Gaussian copula,0.25,HVAC,0.908715248619856,34.04282233219709,0.0
Scenario Bravo,Case A - CUM,Truncated normal,Independent,0.0,CW,0.908700337072266,127.09643476844008,0.0
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Triangular,Global Gaussian copula,0.25,HVAC,0.908357896236502,34.17608975652132,0.0
Scenario Bravo,Case A - CUM,Triangular,Independent,0.0,CW,0.9082237558725664,127.75987392491788,0.0
Scenario Bravo,Case B - CMM + CUM,Triangular,Global Gaussian copula,0.5,HVAC,0.9044968074299315,35.61600560515558,0.0
Scenario Bravo,Case B - CMM + CUM,Triangular,Subsystem-block Gaussian copula,0.5,HVAC,0.9042513141222088,35.70755742440463,0.0
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Truncated normal,Independent,0.0,HVAC,0.9008438456358456,114.96362849288788,0.0
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Triangular,Independent,0.0,HVAC,0.8995700945257704,116.44044100493124,0.0
Scenario Alpha,Case A - CUM,Truncated normal,Subsystem-block Gaussian copula,0.75,HVAC,0.8985551902624952,117.6171413058578,0.0
Scenario Alpha,Case A - CUM,Truncated normal,Global Gaussian copula,0.75,HVAC,0.8984722299321828,117.71332717202858,0.0
Scenario Alpha,Case A - CUM,Triangular,Global Gaussian copula,0.75,HVAC,0.8976022133892331,118.72204175225534,0.0
Scenario Alpha,Case A - CUM,Triangular,Subsystem-block Gaussian copula,0.75,HVAC,0.8975594621360818,118.77160841018394,0.0
Scenario Alpha,Case A - CUM,Truncated normal,Subsystem-block Gaussian copula,0.5,HVAC,0.8965955386065726,119.88920062876764,0.0
Scenario Alpha,Case A - CUM,Truncated normal,Global Gaussian copula,0.5,HVAC,0.8965558236781179,119.93524691111656,0.0
Scenario Alpha,Case B - CMM + CUM,Truncated normal,Independent,0.0,HVAC,0.8962727795515579,120.2634139323327,0.0
Scenario Alpha,Case A - CUM,Triangular,Global Gaussian copula,0.5,HVAC,0.8957742989309918,120.84136233342952,0.0
Scenario Alpha,Case A - CUM,Triangular,Subsystem-block Gaussian copula,0.5,HVAC,0.8957394631312787,120.88175165633288,0.0
Scenario Alpha,Case B - CMM + CUM,Triangular,Independent,0.0,HVAC,0.8954898581065659,121.17114871408536,0.0
Scenario Alpha,Case A - CUM,Truncated normal,Global Gaussian copula,0.25,HVAC,0.8938011115880965,123.1291152025292,0.0
Scenario Alpha,Case A - CUM,Truncated normal,Subsystem-block Gaussian copula,0.25,HVAC,0.8937642389628888,123.1718660616475,0.0
Scenario Alpha,Case A - CUM,Triangular,Global Gaussian copula,0.25,HVAC,0.8931421721685924,123.89310274429069,0.0
Scenario Alpha,Case A - CUM,Triangular,Subsystem-block Gaussian copula,0.25,HVAC,0.8931183196126209,123.92075787473505,0.0
Scenario Bravo,Case B - CMM + CUM,Truncated normal,Global Gaussian copula,0.25,HVAC,0.8886509592670075,41.52539776055488,0.0
Scenario Alpha,Case A - CUM,Truncated normal,Independent,0.0,HVAC,0.8882108652556163,129.61055860533338,0.0
Scenario Bravo,Case B - CMM + CUM,Truncated normal,Subsystem-block Gaussian copula,0.25,HVAC,0.8880061354497816,41.76587190671296,0.0
Scenario Alpha,Case A - CUM,Triangular,Independent,0.0,HVAC,0.8879983593169145,129.85694224078293,0.0
Scenario Bravo,Case B - CMM + CUM,Triangular,Global Gaussian copula,0.25,HVAC,0.8834773422578235,43.45479475178991,0.0
Scenario Bravo,Case B - CMM + CUM,Triangular,Subsystem-block Gaussian copula,0.25,HVAC,0.8832188312918802,43.55120124631912,0.0
Scenario Bravo,Case A - CUM,Truncated normal,Global Gaussian copula,0.75,HVAC,0.863508640786689,50.90172259142008,0.0
Scenario Bravo,Case A - CUM,Truncated normal,Subsystem-block Gaussian copula,0.75,HVAC,0.8633482580889998,50.96153411086931,0.0
Scenario Bravo,Case A - CUM,Triangular,Global Gaussian copula,0.75,HVAC,0.8606220162032404,51.97823149732557,0.0
Scenario Bravo,Case A - CUM,Triangular,Subsystem-block Gaussian copula,0.75,HVAC,0.8606057475714726,51.984298558170735,0.0
Scenario Bravo,Case A - CUM,Truncated normal,Global Gaussian copula,0.5,HVAC,0.8576353252448748,53.092058156428834,0.0
Scenario Bravo,Case A - CUM,Truncated normal,Subsystem-block Gaussian copula,0.5,HVAC,0.8571483860644413,53.27365238498789,0.0
Scenario Bravo,Case A - CUM,Triangular,Subsystem-block Gaussian copula,0.5,HVAC,0.8549036092899058,54.11079698751541,0.0
Scenario Bravo,Case A - CUM,Triangular,Global Gaussian copula,0.5,HVAC,0.8547324455727429,54.17462907255703,0.0
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Truncated normal,Independent,0.0,HVAC,0.852850350421709,54.87651881723207,0.0
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Triangular,Independent,0.0,HVAC,0.8506738763747734,55.68819128355574,0.0
Scenario Bravo,Case A - CUM,Truncated normal,Global Gaussian copula,0.25,HVAC,0.84883587321712,56.373637801139466,0.0
Scenario Bravo,Case A - CUM,Truncated normal,Subsystem-block Gaussian copula,0.25,HVAC,0.8487313879535088,56.41260349049799,0.0
Scenario Bravo,Case A - CUM,Triangular,Global Gaussian copula,0.25,HVAC,0.8468633369255556,57.10925576035254,0.0
Scenario Bravo,Case A - CUM,Triangular,Subsystem-block Gaussian copula,0.25,HVAC,0.8468464421638203,57.11555632384648,0.0
Scenario Bravo,Case B - CMM + CUM,Truncated normal,Independent,0.0,HVAC,0.8444444050886417,58.01134801029286,0.0
Scenario Bravo,Case B - CMM + CUM,Triangular,Independent,0.0,HVAC,0.8429608420498431,58.56461317435202,0.0
Scenario Bravo,Case A - CUM,Truncated normal,Independent,0.0,HVAC,0.832190146863097,62.58132853034522,0.0
Scenario Bravo,Case A - CUM,Triangular,Independent,0.0,HVAC,0.8315700174872455,62.81259337848155,0.0
