system,sample_min_kw,sample_max_kw,lower_bound_min_kw,upper_bound_max_kw,non_negative_check,within_row_bounds_check
HVAC,0.0009713656004870364,55.38458732940309,0.00097136,55.384620000000005,True,True
CW,3.990925827037487e-06,94.77483367213159,3.990924599999999e-06,94.77504,True,True
FW,0.05019152917641566,1001.6957469856043,0.050191344,1001.69867,True,True
