scenario,margin_case,distribution_model,dependency_model,rho,runtime_seconds,parameter_rows,non_degenerate_rows
Scenario Bravo,Case B - CMM + CUM,Truncated normal,Global Gaussian copula,0.5,9.647416100022383,2589,410
Scenario Bravo,Case B - CMM + CUM,Truncated normal,Global Gaussian copula,0.75,9.67947600001935,2589,410
Scenario Bravo,Case B - CMM + CUM,Truncated normal,Subsystem-block Gaussian copula,0.25,9.657555000041611,2589,410
Scenario Bravo,Case B - CMM + CUM,Truncated normal,Subsystem-block Gaussian copula,0.5,9.530034100054763,2589,410
Scenario Bravo,Case B - CMM + CUM,Truncated normal,Subsystem-block Gaussian copula,0.75,9.706133999978192,2589,410
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Triangular,Global Gaussian copula,0.25,3.122138599981554,2589,447
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Triangular,Global Gaussian copula,0.5,3.0983479000860825,2589,447
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Triangular,Global Gaussian copula,0.75,3.14132840000093,2589,447
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Triangular,Subsystem-block Gaussian copula,0.25,3.18746889999602,2589,447
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Triangular,Subsystem-block Gaussian copula,0.5,3.0152543999720365,2589,447
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Triangular,Subsystem-block Gaussian copula,0.75,3.158060200046748,2589,447
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Truncated normal,Global Gaussian copula,0.25,10.62100579997059,2589,447
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Truncated normal,Global Gaussian copula,0.5,10.227055699913763,2589,447
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Truncated normal,Global Gaussian copula,0.75,10.10587620001752,2589,447
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Truncated normal,Subsystem-block Gaussian copula,0.25,10.429330399958417,2589,447
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Truncated normal,Subsystem-block Gaussian copula,0.5,10.3354440999683,2589,447
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Truncated normal,Subsystem-block Gaussian copula,0.75,10.574424499995075,2589,447
