subsystem,scenario,calculated_load_kw,expected_load_kw,calculated_minus_expected_kw
HVAC,alpha,1026.73344657341,1026.73,0.0034465734099740075
HVAC,bravo,307.292471684,307.29,0.002471683999999641
CW,alpha,3814.61147772621,3814.64,-0.028522273789803876
CW,bravo,1256.6386696681602,1256.64,-0.0013303318398811825
FW,alpha,11172.36557800847,11172.39,-0.02442199152937974
FW,bravo,4636.317392640301,4636.32,-0.002607359699140943
