record_id,source_row,pbs_code,teamcenter_id,bom_id,item_description,system,scenario,margin_case,nominal_load_kw,uncertainty_pct,triangular_lower_kw,triangular_mode_kw,triangular_upper_kw,truncnorm_lower_kw,truncnorm_mean_kw,truncnorm_upper_kw,truncnorm_sigma_kw,is_degenerate
2454,2453,PBS_GROUP_SMALL,TC_001877,BOM_000061,ITEM_001725,HVAC,Scenario Alpha,Case C - CMM + CUM + DBM + IGM,80.907,0.14,69.58001999999999,80.907,92.23398,69.58001999999999,80.907,92.23398,5.779071428571429,False
821,820,PBS_GROUP_SMALL,TC_000754,BOM_000801,ITEM_000789,CW,Scenario Alpha,Case B - CMM + CUM,159.3960665,0.1,143.45645985,159.3960665,175.33567315,143.45645985,159.3960665,175.33567315,8.132452372448979,False
92,91,PBS_GROUP_SMALL,TC_000025,BOM_000074,ITEM_000091,FW,Scenario Alpha,Case C - CMM + CUM + DBM + IGM,2349.966,0.1,2114.9694,2349.966,2584.9626000000003,2114.9694,2349.966,2584.9626000000003,119.89622448979593,False
153,152,PBS_GROUP_SMALL,TC_000086,BOM_000134,ITEM_000132,HVAC,Scenario Bravo,Case C - CMM + CUM + DBM + IGM,48.583,0.14,41.78138,48.583,55.384620000000005,41.78138,48.583,55.384620000000005,3.470214285714286,False
1190,1189,PBS_GROUP_0034,TC_001123,BOM_001169,ITEM_001098,CW,Scenario Bravo,Case B - CMM + CUM,83.136,0.1,74.8224,83.136,91.4496,74.8224,83.136,91.4496,4.241632653061224,False
76,75,PBS_GROUP_0006,TC_000009,BOM_000058,ITEM_000076,FW,Scenario Bravo,Case C - CMM + CUM + DBM + IGM,886.459,0.13,771.2193299999999,886.459,1001.6986699999999,771.2193299999999,886.459,1001.6986699999999,58.795750000000005,False
