scenario,margin_case,distribution_model,subsystem,sampled_load_kw
Scenario Alpha,Case A - CUM,Triangular,HVAC,1030.1950488841792
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.84738057378
Scenario Alpha,Case A - CUM,Triangular,HVAC,1028.211720404686
Scenario Alpha,Case A - CUM,Triangular,HVAC,1024.6577802769914
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.6150842959617
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.942525863108
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.1004589374327
Scenario Alpha,Case A - CUM,Triangular,HVAC,1024.3625159901796
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.3650608300434
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.5305150940733
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.9832384228353
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.4536319426309
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.6711385703393
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.8888921764724
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.7072969513906
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.564657803438
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.8612792590766
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.2692961017374
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.426910980268
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.7945385839841
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.102723021019
Scenario Alpha,Case A - CUM,Triangular,HVAC,1024.6647507656598
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.7745354116898
Scenario Alpha,Case A - CUM,Triangular,HVAC,1024.3687055761459
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.8897980801626
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.501466324253
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.6163527125627
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.7057957489478
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.4459970176856
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.030851838155
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.018496402242
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.6361626224377
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.3152471294964
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.8020648700247
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.2624880701903
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.3483835573813
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.0605193009012
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.6558531128558
Scenario Alpha,Case A - CUM,Triangular,HVAC,1029.9243981923137
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.1727979475131
Scenario Alpha,Case A - CUM,Triangular,HVAC,1029.1646797049707
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.66441124682
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.0256697405396
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.389541059295
