source_row,record_id,pbs_code,teamcenter_id,bom_id,item_description,system,propagation_type,alpha_load_model_kw,bravo_load_model_kw
1194,1195,PBS_GROUP_0034,TC_001128,BOM_001173,ITEM_001103,FW,cw_to_fw,3814.64,1256.64
995,996,PBS_GROUP_0003,TC_000929,BOM_000975,ITEM_000955,CW,hvac_to_cw,1026.76,307.29
